"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV103","DESeq2",24.1599616589602,5.37381704271926,1.85417362762284,2.8871211501612,0.00388784498010819,0.0164307734278382,"deseq2",0.0164307734278382,5.37381704271926,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV103","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.552654245123152,0.782177885327733,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",-1.7384145346385,-3.89010808994565,1.84433381402556,5.01718810070483,5.89100819659672,0.782177885327733,0.2334635047981,0.135364448158775,0.552654245123152,0.168072552447552,0.564579624509653,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV104","DESeq2",78.9901844412948,-0.348153500176469,0.864254318207918,-0.402817092457592,0.68708278605144,0.818504661235775,"deseq2",0.818504661235775,-0.348153500176469,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.441945834916489,-0.492895106871942,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,4.1566919772408,4.65123835144102,3.98423264958313,-0.636500099585556,0.953773999037337,-0.492895106871942,0.194553144002082,0.138620607267345,0.441945834916489,0.130091783216783,0.435100637288091,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1040","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0215739051456795,-2.0366139841058,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-0.84602083474933,3.26421552407265,-3.38450049492325,-6.66277350519882,3.25062130890118,-2.0366139841058,0.00027407495720991,0.000730407313112871,0.0215739051456795,0.0027972027972028,0.0346083909394777,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1040","DESeq2",12.4902968161568,-3.4536777995217,1.63291974123037,-2.08604612077411,0.0369744455074566,0.0994388496602052,"deseq2",0.0994388496602052,-3.4536777995217,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1071","DESeq2",15.9743898342957,-0.909823892538099,1.35048192165298,-0.67269665736838,0.50114029458583,0.642255612194836,"deseq2",0.642255612194836,-0.909823892538099,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","SAR92 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1071","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.815545906741934,-0.360828247996359,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","SAR92 clade",NA,1.69670259919705,2.57060504329643,1.1931809704048,-1.5408151252546,4.34687040716941,-0.360828247996359,0.225681428992008,0.486976438152351,0.815545906741934,0.217438811188811,0.622726635686818,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV108","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0589126104831465,-1.45833625509849,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,4.87466704790134,5.59872150110291,4.50652412813225,-1.03908220565285,0.716189301382638,-1.45833625509849,0.0428050752282081,0.00351223863614703,0.0589126104831465,0.0126748251748252,0.0904412568364241,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV108","DESeq2",128.694231990357,-0.76850253199042,0.563340501001736,-1.36420069858477,0.172504408399157,0.304060219456595,"deseq2",0.304060219456595,-0.76850253199042,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1095","DESeq2",2.9077438644181,3.35276407893274,2.05883372732749,1.26087578373222,0.207353604271472,0.353896776521021,"deseq2",0.353896776521021,3.35276407893274,FALSE,"Archaea","Thermoplasmatota","Thermoplasmata","Marine Group III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1095","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.94506109906647,0.111110603224119,FALSE,"Archaea","Thermoplasmatota","Thermoplasmata","Marine Group III",NA,NA,NA,-3.49806077527335,-3.64465842969242,-3.43732455281425,0.609832306339752,6.80094152337563,0.111110603224119,0.459144020765433,0.590516290503154,0.94506109906647,0.684200174825176,0.946209464053147,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV111","DESeq2",108.106264462137,-1.80243359144764,1.0237975755596,-1.75897537317839,0.0785816915518447,0.172200620375956,"deseq2",0.172200620375956,-1.80243359144764,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.129596049887851,-2.32055091200166,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,4.01437166639573,5.93146278688328,3.64312929527805,-2.35875598117642,0.961928339994255,-2.32055091200166,0.00027407495720991,0.0143766626198833,0.129596049887851,0.0027972027972028,0.0346083909394777,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1115","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.780883127292862,0.445439830952686,FALSE,"Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA,NA,-2.6843507809109,-3.73811329907564,-1.82327464529809,2.67812094295656,5.54543025840313,0.445439830952686,0.324219005037364,0.334692046701922,0.780883127292862,0.384232954545454,0.77706913061508,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1115","DESeq2",6.40269385627448,3.4613552858634,2.02926339294928,1.6956721988661,0.089947976321526,0.188887494555106,"deseq2",0.188887494555106,3.4613552858634,FALSE,"Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1118","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.415482190407677,0.921917788953242,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,-1.20502804318446,-3.90667631075373,2.14520372869225,5.41253174993686,5.30329447505758,0.921917788953242,0.179688190791151,0.0929879011773121,0.415482190407677,0.087958916083916,0.389785433898627,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1118","DESeq2",16.143240140078,5.29281057787899,1.71568023674686,3.07094123791603,0.00213385141491148,0.00983788639342308,"deseq2",0.00983788639342308,5.29281057787899,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1125","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.863248074805006,0.323710171025437,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA,-3.08253838419413,-3.6897372505853,-2.66423368979398,2.09534295876802,6.03746901932585,0.323710171025437,0.389105205518449,0.408436020868643,0.863248074805006,0.498524912587412,0.875714956711025,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1125","DESeq2",13.4026287287933,3.56335373220516,2.04926383009024,1.92944823517146,0.0536752405033346,0.124540590710352,"deseq2",0.124540590710352,3.56335373220516,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1127","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.946729255429852,-0.0154352733417185,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA,1.64623522578428,1.57883864986717,1.67568181587063,-0.0960031941553439,4.38845167964752,-0.0154352733417185,0.48249029449239,0.678411878720593,0.946729255429852,0.87385270979021,0.996497701775926,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1127","DESeq2",11.6302794377626,0.103719588633807,1.3638097986118,0.0760506416446358,0.939378808615372,0.957673282416711,"deseq2",0.957673282416711,0.103719588633807,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV113","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.241892440389078,-0.550949728507805,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,5.23753345292392,5.58647546122668,3.96296611227731,-1.48159851030619,2.22417674889026,-0.550949728507805,0.175781961365507,0.0472006117319418,0.241892440389078,0.0825830419580421,0.321552268468704,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV113","DESeq2",132.391571104123,-0.727324617541656,0.996291497088654,-0.729819642720755,0.465500436115211,0.614322136880669,"deseq2",0.614322136880669,-0.727324617541656,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1144","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.882394899593307,0.242769094393109,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group",NA,NA,NA,-3.25623070159029,-3.71918383392318,-2.92987999938461,1.65672318087052,6.65678269684298,0.242769094393109,0.414062612600893,0.492485915047683,0.882394899593307,0.581151660839161,0.873590137974913,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1144","DESeq2",7.90341891496896,3.42276797838444,2.05736538132501,1.69804098381845,0.0895000268831514,0.188887494555106,"deseq2",0.188887494555106,3.42276797838444,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV115","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.614850624147353,0.642799483210405,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,4.92358478052576,4.65166499522704,5.15712233364367,0.713262244364205,1.08600949908032,0.642799483210405,0.237354543258094,0.135890878970004,0.614850624147353,0.134637237762238,0.542646580951527,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV115","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0243983989166679,3.55108720788709,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV115",3.55108720788709,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV115","DESeq2",156.375052972098,1.09875408344625,0.619316811593,1.77408583904322,0.076048952774307,0.168733613967994,"deseq2",0.168733613967994,1.09875408344625,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV1151","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.851766501371116,0.597269925589057,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,NA,1.05358297874732,-2.78789370430767,1.3587950351058,3.6145075425604,4.80682960070058,0.597269925589057,0.281250343995246,0.290491855686299,0.851766501371116,0.2163243006993,0.72552765870919,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1151","DESeq2",8.74988108548581,1.41358922993562,1.47329580006443,0.959499812275407,0.337307014193612,0.488726716568535,"deseq2",0.488726716568535,1.41358922993562,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV116","DESeq2",41.3718997838365,-7.82497107080447,1.77328970629386,-4.23733449110857,2.2618904062411e-05,0.000217019214652862,"deseq2",0.000217019214652862,-7.82497107080447,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.29678762595552,-1.34294284537632,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-3.29288833487941,4.26197927461937,-4.2665905501254,-8.32612695163115,5.17490764056751,-1.34294284537632,0.120623696178148,0.0830429355826528,0.29678762595552,0.0607298951048951,0.243072845141071,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1165","DESeq2",26.8887752826233,-7.1863186038592,2.01483681608094,-2.97850848987396,0.00289655004995641,0.0130161426295509,"deseq2",0.0130161426295509,-7.1863186038592,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1165","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.558416498062065,-0.786037486413596,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,-3.50899968198051,2.22904746955234,-4.17129242703369,-5.95895847637717,6.55298395219593,-0.786037486413596,0.237354543258094,0.20776137850155,0.558416498062065,0.251169143356643,0.591387183514607,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV117","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.267756601604713,1.94657792824486,FALSE,"Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade",NA,NA,NA,3.91108327275768,-2.59590058715886,4.44235493714376,6.93527103896296,3.18525421041001,1.94657792824486,0.00027407495720991,0.0254151893789768,0.267756601604713,0,0,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV117","DESeq2",68.0416865015125,4.81706951131199,1.04382995439865,4.55858699509133,5.14989319490587e-06,6.52391740405422e-05,"deseq2",6.52391740405422e-05,4.81706951131199,TRUE,"Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1172","DESeq2",6.5271872702386,3.31585553404906,2.05942742960561,1.61405244453432,0.10651605121317,0.211246917210476,"deseq2",0.211246917210476,3.31585553404906,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1172","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.866094119116218,0.276305466718498,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,-3.3331511299086,-3.84114211179322,-2.994687958439,2.09319527794688,6.24881805985956,0.276305466718498,0.355468950535953,0.446610458523775,0.866094119116218,0.536265297202797,0.866115638928125,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV118","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.282140181627303,-0.45470818318097,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,2.29875513725037,3.03446413271254,1.87209866546252,-1.2461012535003,4.04047596155545,-0.45470818318097,0.328125247833774,0.0642241194432775,0.282140181627303,0.383085664335664,0.878530078652646,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV118","DESeq2",26.3021972949784,-0.160852615258503,1.40725649122823,-0.114268708790665,0.909024786759706,0.952481615731913,"deseq2",0.952481615731913,-0.160852615258503,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1183","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.277720325775381,1.39698101053984,FALSE,"Bacteria","PAUC34f",NA,NA,NA,NA,NA,1.2768485942087,-3.74577869673853,2.05620255342621,5.46118498748151,3.60552953352907,1.39698101053984,0.0739319238239796,0.034006754236014,0.277720325775381,0.0114291958041958,0.117026029597058,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1183","DESeq2",12.6041869046314,5.46489756813938,1.42292573959843,3.83687393272161,0.000124610398796033,0.000884733831451834,"deseq2",0.000884733831451834,5.46489756813938,TRUE,"Bacteria","PAUC34f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV120","DESeq2",56.0554770801414,3.96175529168129,0.973326314802956,4.04364041593641,5.2627613508472e-05,0.000444828637988275,"deseq2",0.000444828637988275,3.96175529168129,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV120","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.25692565201688,1.79509114723612,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,3.18207081593858,0.168079122532497,3.46671347089664,3.81339794259668,1.99588958997428,1.79509114723612,0.0661500749595091,0.032483489044428,0.25692565201688,0.00738636363636361,0.0940135196709549,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1217","DESeq2",5.94425784081758,3.24607856512588,2.05996100387441,1.57313073213218,0.115688550191196,0.221996947664186,"deseq2",0.221996947664186,3.24607856512588,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1217","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.871144673542783,0.227847766605272,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA,-3.09876207886065,-3.59836601928264,-2.87135758996192,1.53447316356135,6.02054479271229,0.227847766605272,0.402343879100395,0.488316574852928,0.871144673542783,0.548492132867133,0.877866220254731,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV122","DESeq2",15.7749832961834,4.92297892056718,1.85826509371129,2.63376223060801,0.00844445997121217,0.0309049823688693,"deseq2",0.0309049823688693,4.92297892056718,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
